BBOX(geom, -73.914983,40.721355,-73.814983,40.821355) AND dtg DURING 2010-01-08T08:34:00+00:00/2010-01-15T08:33:59+00:00,result count: 70891,2642
BBOX(geom, -74.028584,40.712566,-73.928584,40.812566) AND dtg DURING 2010-01-09T00:10:58+00:00/2010-01-16T00:10:57+00:00,result count: 3117429,7473
BBOX(geom, -74.046872,40.67525,-73.946872,40.77525) AND dtg DURING 2010-01-09T09:02:59+00:00/2010-01-16T09:02:58+00:00,result count: 2723797,5779
BBOX(geom, -74.026707,40.701129,-73.926707,40.801129) AND dtg DURING 2010-01-09T23:37:26+00:00/2010-01-16T23:37:25+00:00,result count: 3124701,6246
BBOX(geom, -74.061147,40.665752,-73.961147,40.765752) AND dtg DURING 2010-01-10T08:35:25+00:00/2010-01-17T08:35:24+00:00,result count: 2292245,4919
BBOX(geom, -74.031766,40.715713,-73.931766,40.815713) AND dtg DURING 2010-01-10T23:04:08+00:00/2010-01-17T23:04:07+00:00,result count: 3066144,5960
BBOX(geom, -74.027089,40.737785,-73.927089,40.837785) AND dtg DURING 2010-01-11T08:20:11+00:00/2010-01-18T08:20:10+00:00,result count: 2410371,4839
BBOX(geom, -74.024861,40.694514,-73.924861,40.794514) AND dtg DURING 2010-01-11T21:44:00+00:00/2010-01-18T21:43:59+00:00,result count: 3050406,6037
BBOX(geom, -74.026112,40.726123,-73.926112,40.826123) AND dtg DURING 2010-01-12T07:41:00+00:00/2010-01-19T07:40:59+00:00,result count: 2729615,5458
BBOX(geom, -74.009564,40.712856,-73.909564,40.812856) AND dtg DURING 2010-01-12T19:41:43+00:00/2010-01-19T19:41:42+00:00,result count: 2981612,5836
BBOX(geom, -74.046758,40.687621,-73.946758,40.787621) AND dtg DURING 2010-01-13T07:24:29+00:00/2010-01-20T07:24:28+00:00,result count: 2898211,5704
BBOX(geom, -74.063626,40.658065,-73.963626,40.758065) AND dtg DURING 2010-01-13T16:23:35+00:00/2010-01-20T16:23:34+00:00,result count: 1770915,4057
BBOX(geom, -74.038503,40.681342,-73.938503,40.781342) AND dtg DURING 2010-01-14T06:31:00+00:00/2010-01-21T06:30:59+00:00,result count: 2791085,6327
BBOX(geom, -74.031491,40.682697,-73.931491,40.782697) AND dtg DURING 2010-01-15T00:03:42+00:00/2010-01-22T00:03:41+00:00,result count: 2828210,6026
BBOX(geom, -74.042516,40.691261,-73.942516,40.791261) AND dtg DURING 2010-01-15T12:43:09+00:00/2010-01-22T12:43:08+00:00,result count: 2946779,5634
BBOX(geom, -74.040784,40.695903,-73.940784,40.795903) AND dtg DURING 2010-01-16T04:34:48+00:00/2010-01-23T04:34:47+00:00,result count: 3003855,5956
BBOX(geom, -74.053937,40.675941,-73.953937,40.775941) AND dtg DURING 2010-01-16T19:43:00+00:00/2010-01-23T19:42:59+00:00,result count: 2606589,5128
BBOX(geom, -74.041379,40.696372,-73.941379,40.796372) AND dtg DURING 2010-01-17T05:40:14+00:00/2010-01-24T05:40:13+00:00,result count: 3053886,6355
BBOX(geom, -74.029355,40.696136,-73.929355,40.796136) AND dtg DURING 2010-01-17T19:33:54+00:00/2010-01-24T19:33:53+00:00,result count: 3055303,5810
BBOX(geom, -73.833615,40.598708,-73.733615,40.698708) AND dtg DURING 2010-01-18T05:22:36+00:00/2010-01-25T05:22:35+00:00,result count: 38722,1488
BBOX(geom, -73.894616,40.76559,-73.794616,40.86559) AND dtg DURING 2010-01-03T04:04:47+00:00/2010-01-10T04:04:46+00:00,result count: 56083,1292
BBOX(geom, -73.916622,40.701576,-73.816622,40.801576) AND dtg DURING 2010-01-01T00:00:00+00:00/2010-01-07T23:59:59+00:00,result count: 73144,1346
BBOX(geom, -73.985994,40.718126,-73.885994,40.818126) AND dtg DURING 2010-01-24T20:52:47+00:00/2010-01-31T20:52:46+00:00,result count: 1963156,4283
